レコードID,アプリケーション名,製品・ベンダー,バージョン,用途・概要,利用部署,管理担当者,導入年月,区分,備考
APP-001,勤怠管理,サンプル勤怠システム,,全社の勤怠打刻・集計,総務部,山田太郎,2019/04,サーバ,オンプレ版（Apache Tomcat上で稼働・ログ出力にlog4jを使用）
APP-002,Acrobat,Adobe Acrobat Reader DC,2021.011.20039,PDF閲覧・押印,全社,情報システム課,2021/06,クライアント,各PCにプリインストール
APP-003,社内ポータル,WordPress,5.8,社内お知らせ掲示,広報部,佐藤花子,2020/09,サーバ,プラグイン多数。テーマは自社制作
APP-004,VPN,FortiGate 60F,FortiOS 7.0.5,拠点間VPN・FW,情報システム課,鈴木一郎,2022/01,ネットワーク機器,本社-大阪支社間
APP-005,メールサーバ,Microsoft Exchange Server,2019 CU12,社内メール,情報システム課,鈴木一郎,2019/11,サーバ,オンプレ運用
APP-006,リモート接続クライアント,Cisco AnyConnect,4.10.04065,在宅勤務用VPN,全社,情報システム課,2020/05,クライアント,
APP-007,ブラウザ,Google Chrome,,Web業務全般,全社,情報システム課,2018/04,クライアント,自動更新ON
APP-008,圧縮解凍ツール,7-Zip,19.00,ファイル圧縮,全社,情報システム課,2019/03,クライアント,
APP-009,Web会議,Zoom,5.12.2,オンライン会議,全社,総務部,2020/04,クライアント,
APP-010,ナレッジ共有,Atlassian Confluence,7.13,社内Wiki,開発部,高橋次郎,2021/02,サーバ,
APP-011,暗号化ライブラリ,OpenSSL,1.1.1,各種通信の暗号化,開発部,高橋次郎,2019/07,ライブラリ,自社アプリが内部依存
APP-012,経費精算,クラウド経費(SaaS),,交通費・経費申請,経理部,田中三郎,2022/08,SaaS,ベンダー保守のため対象外候補
APP-013,図面ビューア,ｱｸﾛﾊﾞｯﾄ,DC,設計図PDF閲覧,製造部,渡辺四郎,2020/10,クライアント,表記ゆれ確認用（半角カナ）
APP-014,基幹システム,自社開発,,受発注管理,情報システム課,鈴木一郎,2015/04,サーバ,COBOL資産。製品名なし
APP-015,ファイル転送,Apache HTTP Server,2.4.41,社外向け資料配布,情報システム課,鈴木一郎,2020/12,サーバ,
